class_name,video_name,image_name,label
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00000,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00001,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00002,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00003,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00004,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00005,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00006,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00007,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00008,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00009,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00010,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00011,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00012,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00013,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00014,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00015,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00016,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00017,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00018,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00019,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00020,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00021,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00022,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00023,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00024,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00025,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00026,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00027,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00028,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00029,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00030,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00031,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00032,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00033,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00034,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00035,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00036,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00037,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00038,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00039,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00040,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00041,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00042,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00043,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00044,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00045,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00046,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00047,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00048,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00049,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00050,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00051,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00052,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00053,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00054,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00055,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00056,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00057,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00058,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00059,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00060,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00061,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00062,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00063,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00064,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00065,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00066,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00067,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00068,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00069,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00070,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00071,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00072,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00073,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00074,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00075,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00076,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00077,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00078,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00079,1
clean_and_jerk,9XgsEBtBqm8_00001_00616,I00080,1
